货主,入库单号,仓库,货品简称,创建人,入库原因,仓储单号,商家编码,条形码,货品编号,货品名称,分类名称,规格名称,品牌,数量,单价,箱数,绩效箱数,物流公司,物流单号,入库货位,批次,是否正品,审核时间,备注,单品备注,OMS单号,箱规,生产日期,保质期,有效期,货品重量（kg）,货品总重量（kg）,货品体积（cm³）,货品总体积（cm³）,货品箱体积（cm³）,箱规总体积（cm³）,单品标记
EA,RK2606010001,主仓库,그린몬스터 14in1 녹차카테킨+,남궁정,采购入库,CG202606010001,8.80286E+12,8.80286E+12,8.80286E+12,GREEN MONSTER 14in1 绿茶儿茶素+,无,15g,GREEN MONSTER,100,无权限,1箱,1,无,,A01-03-01,,正品,2026-06-01 8:13,"GREEN MONSTER / EA / SM  追加:cj대한통운 589457777523,589457777534,589457777545,589457777556 CG20260527004",SM,OCG202606010001,100/箱,0000-00-00 00:00:00,0,2027-09-25 0:00,0.158,15.8,278,27800,0,27800,无
EA,RK2606010001,主仓库,그린몬스터 이너블라썸 (30ea),남궁정,采购入库,CG202606010001,8.80958E+12,8.80958E+12,8.80958E+12,GREEN MONSTER 女性私护益生菌 (30ea),美妆个护,30ea,GREEN MONSTER,100,无权限,2箱,2,无,,A01-12-02,,正品,2026-06-01 8:13,"GREEN MONSTER / EA / SM  追加:cj대한통운 589457777523,589457777534,589457777545,589457777556 CG20260527004",SM,OCG202606010001,50/箱,0000-00-00 00:00:00,0,2027-09-25 0:00,0.046,4.6,336,33600,0,33600,无
BOX,RK2606010002,主仓库,그린몬스터 14in1 녹차카테킨+,남궁정,采购入库,CG202606010002,8.80286E+12,8.80286E+12,8.80286E+12,GREEN MONSTER 14in1 绿茶儿茶素+,无,15g,GREEN MONSTER,100,无权限,1箱,1,无,,B2-25-01,,正品,2026-06-01 8:15,"GREEN MONSTER / BOX / CN / BB  追加:cj대한통운 589457777523,589457777534,589457777545,589457777556 CG20260527003",CN BB,OCG202606010002,100/箱,0000-00-00 00:00:00,0,2027-09-25 0:00,0.158,15.8,278,27800,0,27800,无
EA,RK2606010003,主仓库,플르부아 바디클렌저(#플로럴머스크) (250ml),박강민 ,借调入库,JTF202606010001,8.80968E+12,8.80968E+12,8.80968E+12,Pleuvoir 沐浴露(#Floral Musk) (250ml),美妆个护,250ml,Pleuvoir,200,无权限,10箱,10,无,,A05-03-01,,正品,2026-06-01 8:24,SCM 화주변경요청,,,20/箱,0000-00-00 00:00:00,0,2029-03-12 0:00,0.325,65,585,117000,0,117000,无
EA,RK2606010003,主仓库,타라 알개앰플 씨테라피 마스크 (5ea),박강민 ,借调入库,JTF202606010001,8.80961E+12,8.80961E+12,8.80961E+12,TARA 海藻精华海洋修复面膜 (5ea),美妆个护,5ea,TARA,160,无权限,4箱,4,无,,A04-05-02,,正品,2026-06-01 8:24,SCM 화주변경요청,,,40/箱,0000-00-00 00:00:00,0,2028-09-07 0:00,0.194,31.04,563,90080,0,90080,无
EA,RK2606010003,主仓库,아이뽀 시카비타 수딩 패드 (140g*80ea),박강민 ,借调入库,JTF202606010001,8.80985E+12,8.80985E+12,8.80985E+12,AIPPO 积雪草保湿补水棉片(140g*80ea),美妆个护,140g*80ea,AIPPO,100,无权限,2箱,2,无,,A04-09-01,,正品,2026-06-01 8:24,SCM 화주변경요청,,,50/箱,0000-00-00 00:00:00,0,2029-03-08 0:00,0.308,30.8,722,72200,0,72200,无
EA,RK2606010004,主仓库,자빈드서울 윙크 쿠션 글로우(#19 시어페일) (16g),남궁정,采购入库,CG202606010003,8.8093E+12,8.8093E+12,8.8093E+12,JAVIN DE SEOUL 眨眼水光气垫(#19 Sheer Pale) (16g),美妆个护,16g,JAVIN DE SEOUL,100,无权限,1箱,1,无,,A04-28-02,,正品,2026-06-01 8:26,JAVIN DE SEOUL / EA / SM CG20260528005,SM,OCG202606010003,100/箱,0000-00-00 00:00:00,0,2029-05-01 0:00,0.094,9.4,179,17900,0,17900,无
EA,RK2606010004,主仓库,자빈드서울 윙크 쿠션 글로우(#21 시어 아이보리) (16g),남궁정,采购入库,CG202606010003,8.8093E+12,8.8093E+12,8.8093E+12,JAVIN DE SEOUL 眨眼水光气垫(#21 Sheer Ivory) (16g),美妆个护,16g,JAVIN DE SEOUL,100,无权限,1箱,1,无,,A04-27-01,,正品,2026-06-01 8:26,JAVIN DE SEOUL / EA / SM CG20260528005,SM,OCG202606010003,100/箱,0000-00-00 00:00:00,0,2028-03-04 0:00,0.094,9.4,179,17900,0,17900,无
EA,RK2606010004,主仓库,자빈드서울 윙크 쿠션 글로우(#19 시어페일) (리필16g),남궁정,采购入库,CG202606010003,8.8093E+12,8.8093E+12,8.8093E+12,JAVIN DE SEOUL 眨眼水光气垫(#19 Sheer Pale) (替换装16g),美妆个护,리필16g,JAVIN DE SEOUL,100,无权限,1箱,1,无,,A04-29-01,,正品,2026-06-01 8:26,JAVIN DE SEOUL / EA / SM CG20260528005,SM,OCG202606010003,100/箱,0000-00-00 00:00:00,0,2029-05-01 0:00,0.045,4.5,179,17900,0,17900,无
EA,RK2606010004,主仓库,자빈드서울 윙크 쿠션 글로우(#21 시어 아이보리) (리필16g),남궁정,采购入库,CG202606010003,8.8093E+12,8.8093E+12,8.8093E+12,JAVIN DE SEOUL 眨眼水光气垫(#21 Sheer Ivory) (替换装16g),美妆个护,리필16g,JAVIN DE SEOUL,100,无权限,1箱,1,无,,A04-32-03,,正品,2026-06-01 8:26,JAVIN DE SEOUL / EA / SM CG20260528005,SM,OCG202606010003,100/箱,0000-00-00 00:00:00,0,2028-10-12 0:00,0.045,4.5,179,17900,0,17900,无
EA,RK2606010007,主仓库,(증정) 마미케어 애사비 클렌저 (2ml) (#Ver.2),남궁정,采购入库,CG202606010006,8.80025E+12,8.80025E+12,8.80025E+12,(赠品) Mommycare 苹果醋洗面奶 (2ml) (#Ver.2),美妆个护,2ml,Mommycare,1000,无权限,1000ea,1,无,,B2-18-01,,正品,2026-06-01 14:00,Mommycare / EA / SM1000 CG202606010001,,OCG202606010006,1400/箱,0000-00-00 00:00:00,0,2028-05-31 0:00,0.002,2,2,2000,0,2000,无
EA,RK2606010008,主仓库,마미케어 오쏘타민 비타민C 앰플 (15ml),남궁정,采购入库,CG202606010007,8.80025E+12,8.80025E+12,8.80025E+12,Mommycare 维C美白精华 (15ml),美妆个护,15ml,Mommycare,50,无权限,50ea,1,无,,A01-24-01,,正品,2026-06-01 14:31,Mommycare / EA / CN / BB CG20260528006,CN,OCG202606010007,100/箱,0000-00-00 00:00:00,0,2027-02-23 0:00,0.093,4.65,184,9200,0,9200,无
EA,RK2606010009,主仓库,마미케어 오쏘타민 비타민C 크림 (50ml),남궁정,采购入库,CG202606010008,8.80025E+12,8.80025E+12,8.80025E+12,Mommycare 维C美白面霜 (50ml),美妆个护,50ml,Mommycare,120,无权限,2箱,2,无,,B2-18-01,,正品,2026-06-01 14:33,Mommycare / EA / SM CG202605290001,,OCG202606010008,60/箱,0000-00-00 00:00:00,0,2028-02-18 0:00,0.08,9.6,191,22920,0,22920,无
EA,RK2606010010,主仓库,베이스킨 차가 에너지 부스터 토너 (200ml),남궁정,采购入库,CG202606010009,8.80999E+12,8.80999E+12,8.80999E+12,beiskin 白桦茸能量焕活爽肤水 (200ml),美妆个护,120g,beiskin,100,无权限,2箱,2,无,,A03-20-02,,正品,2026-06-01 14:38,beiskin / EA / SM  追加:우체국택배 6097536140204 CG20260528004,SM,OCG202606010009,50/箱,0000-00-00 00:00:00,0,2029-04-19 0:00,0.34,34,411,41100,0,41100,无
EA,RK2606010010,主仓库,베이스킨 차가 유스 앤 글로우 수분오일 (30ml),남궁정,采购入库,CG202606010009,8.80999E+12,8.80999E+12,8.80999E+12,beiskin 白桦茸焕亮保湿精华油 (30ml),美妆个护,30ml,beiskin,100,无权限,1箱,1,无,,A03-09-02,,正品,2026-06-01 14:38,beiskin / EA / SM  追加:우체국택배 6097536140204 CG20260528004,SM,OCG202606010009,100/箱,0000-00-00 00:00:00,0,2029-04-14 0:00,0.088,8.8,154,15400,0,15400,无
EA,RK2606010013,主仓库,슈엘로 리프팅 스크럽 워시 (250ml),남궁정,借调入库,JTF202606010002,8.80979E+12,8.80979E+12,8.80979E+12,Suelo 提拉身体磨砂沐浴乳 (250ml),美妆个护,250ml,Suelo,32,无权限,1箱,1,无,,A01-28-02,,正品,2026-06-01 16:44,SCM요청(화주변경),기타,,32/箱,0000-00-00 00:00:00,0,2029-03-25 0:00,0.277,8.864,689,22048,0,22048,无
EA,RK2606010013,主仓库,슈엘로 볼케이노 바디 피피씨 크림 (120ml) (#Ver.2),남궁정,借调入库,JTF202606010002,8.80979E+12,8.80979E+12,8.80979E+12,Suelo 火山身体PPC纤体刮痧霜 (120ml) (#Ver.2),美妆个护,120ml,Suelo,32,无权限,1箱,1,无,,A01-09-01,,正品,2026-06-01 16:44,SCM요청(화주변경),기타,,32/箱,0000-00-00 00:00:00,0,2029-02-01 0:00,0.178,5.696,612,19584,0,19584,无
