货主,入库单号,仓库,货品简称,创建人,入库原因,仓储单号,商家编码,条形码,货品编号,货品名称,分类名称,规格名称,品牌,数量,单价,箱数,绩效箱数,物流公司,物流单号,入库货位,批次,是否正品,审核时间,备注,单品备注,OMS单号,箱规,生产日期,保质期,有效期,货品重量（kg）,货品总重量（kg）,货品体积（cm³）,货品总体积（cm³）,货品箱体积（cm³）,箱规总体积（cm³）,单品标记
BOX,RK2601050001,主仓库,슈엘로 리쥬 카밍 PDRN 크림 (30ml),권오성,采购入库,CG202601050002,8809794920233,8809794920233,8809794920233,Suelo Reju 舒缓 PDRN 裸妆感皮肤科无粉底面霜 (30ml),美妆个护,30ml,Suelo,80,无权限,1箱,1.0,无,,B2-25-01,,正品,2026-01-05 08:06:30,Suelo / BOX / CN  / BB CG20260102003,,OCG202601050002,80/箱,0000-00-00 00:00:00,0.0,2028-08-05 00:00:00,0.045,3.6,126.0,10080,0.0,10080,无
BOX,RK2601050001,主仓库,슈엘로 리쥬 카밍 PDRN 버블토너 (100ml),권오성,采购入库,CG202601050002,8809794920240,8809794920240,8809794920240,Suelo Reju 舒缓 PDRN 泡泡爽肤水 (100ml),美妆个护,100ml,Suelo,90,无权限,2箱,2.0,无,,B2-25-01,,正品,2026-01-05 08:06:30,Suelo / BOX / CN  / BB CG20260102003,,OCG202601050002,45/箱,0000-00-00 00:00:00,0.0,2028-12-02 00:00:00,0.165,14.85,375.0,33750,0.0,33750,无
EA,RK2601050002,主仓库,슈엘로 볼케이노 바디 피피씨 크림 (120ml) (#Ver.2),권오성,采购入库,CG202601050001,8809794920271,8809794920271,8809794920271,Suelo 火山身体PPC纤体刮痧霜 (120ml) (#Ver.2),美妆个护,120ml,Suelo,64,无权限,2箱,2.0,无,,A01-33-02,,正品,2026-01-05 08:10:22,Suelo / EA / CN  / SM CG20260102004,,OCG202601050001,32/箱,0000-00-00 00:00:00,0.0,2028-08-28 00:00:00,0.178,11.392,612.0,39168,0.0,39168,无
EA,RK2601050003,主仓库,웰더마 프리미엄 사파이어 콜라겐 임팩트 피팅 마스크(#흰색) (25g*4ea),권오성,采购入库,CG202601050003,8809502183950,8809502183950,8809502183950,WellDerma 蓝宝石胶原紧致面膜(#白色) (25g*4ea),美妆个护,4ea,WellDerma,40,无权限,1箱,1.0,无,,A02-06-01,,正品,2026-01-05 08:14:38,WellDerma / EA / CN  / sunmooh  追加:CJ대한통운 540675803822 CG20251231002,,OCG202601050003,40/箱,0000-00-00 00:00:00,0.0,2028-11-27 00:00:00,0.224,8.96,678.0,27120,0.0,27120,无
BOX,RK2601050004,主仓库,비플레인 녹두 약산성 클렌징폼 (80ml) (#Ver.2),권오성,采购入库,CG202601050004,8809623941668,8809623941668,8809623941668,beplain 绿豆弱酸性氨基酸洗面奶 (80ml) (#Ver.2),美妆个护,80ml,beplain,80,无权限,1箱,1.0,无,,B2-25-01,,正品,2026-01-05 08:18:35,beplain / BOX / CN  / B2B CG20251229002,,OCG202601050004,80/箱,0000-00-00 00:00:00,0.0,2028-10-29 00:00:00,0.115,9.2,248.0,19840,0.0,19840,无
EA,RK2601050005,主仓库,유쏘풀 향수 디스커버리 세트 (10ml*5ea),박강민 ,借调入库,JTF202601050001,8809846781294,8809846781294,8809846781294,YOUSSOFUL 香水套装 (10ml*5ea),美妆个护,10ml*5ea,YOUSSOFUL,180,无权限,7箱12ea,8.0,无,,A05-01-01,,正品,2026-01-05 08:23:48,SCM 화주변경요청,기타,,24/箱,0000-00-00 00:00:00,0.0,2028-07-10 00:00:00,0.4,72.0,1103.0,198540,0.0,198540,无
BOX,RK2601050013,主仓库,쏘두위 구강 스프레이(#바닐라향) (15ml),권오성,采购入库,CG202601050011,8809693711352,8809693711352,8809693711352,SODOWE 口腔喷雾(#香草) (15ml),美妆个护,15ml,SODOWE,120,无权限,2箱,2.0,无,,B2-25-01,,正品,2026-01-05 11:01:23,SODOWE / BOX / CN  / B2B CG20251229005,,OCG202601050011,60/箱,0000-00-00 00:00:00,0.0,2028-09-02 00:00:00,0.038,4.56,127.0,15240,0.0,15240,无
BOX,RK2601050013,主仓库,쏘두위 구강 스프레이(#애플민트향) (15ml),권오성,采购入库,CG202601050011,8809693711369,8809693711369,8809693711369,SODOWE 口腔喷雾(#苹果薄荷) (15ml),美妆个护,15ml,SODOWE,120,无权限,2箱,2.0,无,,B2-25-01,,正品,2026-01-05 11:01:23,SODOWE / BOX / CN  / B2B CG20251229005,,OCG202601050011,60/箱,0000-00-00 00:00:00,0.0,2028-11-03 00:00:00,0.038,4.56,127.0,15240,0.0,15240,无
EA,RK2601050017,主仓库,플르부아 바디로션(#플로럴머스크) (250ml),박강민 ,借调入库,JTF202601050002,8809681241144,8809681241144,8809681241144,Pleuvoir 身体乳(#Floral Musk) (250ml),美妆个护,250ml,Pleuvoir,60,无权限,3箱,3.0,无,,A05-04-01,,正品,2026-01-05 11:10:28,SCM 화주변경요청,,,20/箱,0000-00-00 00:00:00,0.0,2028-10-22 00:00:00,0.31,18.6,585.0,35100,0.0,35100,无
BOX,RK2601050018,主仓库,플르부아 바디로션(#모닝소일) (250ml),남궁정,采购入库,CG202601050015,8809681242295,8809681242295,8809681242295,Pleuvoir 身体乳(#Morning Soil) (250ml),美妆个护,250ml,Pleuvoir,40,无权限,2箱,2.0,无,,B2-03-01,,正品,2026-01-05 11:13:01,"Pleuvoir /  BOX / MK推广 / 10월, 11월 시딩용 CG20251223011",,OCG202601050015,20/箱,0000-00-00 00:00:00,0.0,2028-10-15 00:00:00,0.31,12.4,585.0,23400,0.0,23400,无
