货主,入库单号,仓库,货品简称,创建人,入库原因,仓储单号,商家编码,条形码,货品编号,货品名称,分类名称,规格名称,品牌,数量,单价,箱数,绩效箱数,物流公司,物流单号,入库货位,批次,是否正品,审核时间,备注,单品备注,OMS单号,箱规,生产日期,保质期,有效期,货品重量（kg）,货品总重量（kg）,货品体积（cm³）,货品总体积（cm³）,货品箱体积（cm³）,箱规总体积（cm³）,单品标记
EA,RK2603030001,主仓库,(증정) 아임우나우 샤쉐 파우치 (1ea),권오성,采购入库,CG202603030002,8802025121201,8802025121201,8802025121201,(赠品) I'm unau 小样套装 (1ea),美妆个护,1ea,I'm unau,60,无权限,60箱,60.0,无,,A03-15-03,,正品,2026-03-03 06:54:25,I'm unau / EA / Sunmooh  追加:로젠택배 / 43883820116 / 443883820120 / 43883820131 CG20260225006,Sunmooh,OCG202603030002,1/箱,0000-00-00 00:00:00,0.0,2026-08-27 00:00:00,0.0,0.0,18.0,1080,0.0,1080,无
BOX,RK2603030002,主仓库,아임우나우 바쿠치올 바닐라 리와인드 마스크 (27ml*5ea),권오성,采购入库,CG202603030001,8809990597550,8809990597550,8809990597550,I'm unau 巴库奇醇香草焕颜面膜 (27ml*5ea),美妆个护,27ml*5ea,I'm unau,60,无权限,3箱,3.0,无,,B2-25-01,,正品,2026-03-03 06:55:44,I'm unau / BOX / CN / BB  追加:로젠택배 / 43883820116 / 443883820120 / 43883820131 CG20260225005,CN BB,OCG202603030001,20/箱,0000-00-00 00:00:00,0.0,2027-06-25 00:00:00,0.192,11.52,251.0,15060,0.0,15060,无
Youssoful,RK2603030003,主仓库,(증정) 유쏘풀 향수(#07 세인트 모리츠) (2ml) (#Ver.2),권오성,采购入库,CG202602270020,8809846781829,8809846781829,8809846781829,(赠品) YOUSSOFUL 香水(#07 Saint Moritz) (2ml) (#Ver.2),美妆个护,2ml,YOUSSOFUL,256,无权限,1箱,1.0,无,,A06-05-04,,正品,2026-03-03 07:01:14,YOUSSOFUL / Youssoful / JP위탁 CG20260227001,JP위탁,OCG202602270026,256/箱,0000-00-00 00:00:00,0.0,2029-01-04 00:00:00,0.0,0.0,0.0,0,0.0,0,无
Youssoful,RK2603030004,主仓库,(증정) 유쏘풀 향수(#03 베리섹시) (2ml) (#Ver.2),권오성,采购入库,CG202602270020,8809846781836,8809846781836,8809846781836,(赠品) YOUSSOFUL 香水(#03 Berry Sexy) (2ml) (#Ver.2),美妆个护,2ml,YOUSSOFUL,256,无权限,1箱,1.0,无,,A06-01-03,,正品,2026-03-03 07:06:50,YOUSSOFUL / Youssoful / JP위탁 CG20260227001,JP위탁,OCG202602270026,256/箱,0000-00-00 00:00:00,0.0,2029-01-04 00:00:00,0.0,0.0,0.0,0,0.0,0,无
EA,RK2603030005,主仓库,스킨아이 내추럴 발효 동백 클렌징 폼 (120ml),권오성,采购入库,CG202603030003,8809186287463,8809186287463,8809186287463,SKINEYE 山茶花洗面奶 (120ml),美妆个护,120ml,SKINEYE,56,无权限,1箱,1.0,无,,A03-03-03,,正品,2026-03-03 07:09:45,SKINEYE / EA / Sunmooh CG20260225010,Sunmooh,OCG202603030003,56/箱,0000-00-00 00:00:00,0.0,2028-08-19 00:00:00,0.15,8.4,425.0,23800,0.0,23800,无
EA,RK2603030006,主仓库,닥터펩티 엑소 바이옴 마스크 (5매),권오성,采购入库,CG202603030004,8809610272072,8809610272072,8809610272072,Dr.Pepti Exo 益生元外泌体面膜 (5片),美妆个护,5매,Dr.Pepti,90,无权限,2箱,2.0,无,,H-03-04,,正品,2026-03-03 07:12:56,Dr.Pepti / EA / Sunmooh CG20260225004,Sunmooh,OCG202603030004,45/箱,0000-00-00 00:00:00,0.0,2028-09-18 00:00:00,0.198,17.82,596.0,53640,0.0,53640,无
EA,RK2603030008,主仓库,큐레카 루테인 아스타잔틴 (30정),권오성,采购入库,CG202603030005,8809772205536,8809772205536,8809772205536,CUREKA 叶黄虾青素 (30粒),无,30ea,CUREKA,162,无权限,1箱,1.0,无,,A04-11-03,,正品,2026-03-03 07:20:59,CUREKA / EA / Sunmooh CG20260226004,Sunmooh,OCG202603030005,162/箱,0000-00-00 00:00:00,0.0,2027-12-25 00:00:00,0.052,8.424,326.0,52812,0.0,52812,无
EA,RK2603030008,主仓库,큐레카 혈당케어 바나바잎 (60정),권오성,采购入库,CG202603030005,8809981310441,8809981310441,8809981310441,CUREKA 血糖护理巴拉巴叶 (60粒),食品,60정,CUREKA,100,无权限,1箱,1.0,无,,H-04-02,,正品,2026-03-03 07:20:59,CUREKA / EA / Sunmooh CG20260226004,Sunmooh,OCG202603030005,100/箱,0000-00-00 00:00:00,0.0,2027-08-12 00:00:00,0.064,6.4,385.0,38500,0.0,38500,无
EA,RK2603030009,主仓库,닥터펩티 볼륨 넥 크림 (120ml),권오성,采购入库,CG202603030006,8809610272515,8809610272515,8809610272515,Dr.Pepti 多肽紧致弹力颈霜 (120ml),美妆个护,120ml,Dr.Pepti,100,无权限,2箱,2.0,无,,B2-18-02,,正品,2026-03-03 07:23:21,Dr.Pepti / EA / Sunmooh CG20260224015,Sunmooh,OCG202603030006,50/箱,0000-00-00 00:00:00,0.0,2027-10-31 00:00:00,0.22,22.0,669.0,66900,0.0,66900,无
EA,RK2603030018,主仓库,플르부아 바디클렌저(#플로럴머스크) (250ml),박강민 ,借调入库,JTF202603030001,8809681241151,8809681241151,8809681241151,Pleuvoir 沐浴露(#Floral Musk) (250ml),美妆个护,250ml,Pleuvoir,100,无权限,5箱,5.0,无,,A05-03-01,,正品,2026-03-03 11:57:35,SCM 화주변경요청,,,20/箱,0000-00-00 00:00:00,0.0,2029-02-09 00:00:00,0.325,32.5,585.0,58500,0.0,58500,无
