货主,入库单号,仓库,货品简称,创建人,入库原因,仓储单号,商家编码,条形码,货品编号,货品名称,分类名称,规格名称,品牌,数量,单价,箱数,绩效箱数,物流公司,物流单号,入库货位,批次,是否正品,审核时间,备注,单品备注,OMS单号,箱规,生产日期,保质期,有效期,货品重量（kg）,货品总重量（kg）,货品体积（cm³）,货品总体积（cm³）,货品箱体积（cm³）,箱规总体积（cm³）,单品标记
EA,RK2605150030,主仓库,(증정) 유쏘풀 미니 가죽 키링 케이스 (1ea),권오성,借调入库,JTF202605150002,8809846782352,8809846782352,8809846782352,(赠品) YOUSSOFUL 香水钥匙扣皮套 (1ea),无,1ea,YOUSSOFUL,60,无权限,60箱,1.0,无,,A05-24-01,,正品,2026-05-15 17:14:21,화주 변경 요청 건,기타,,1/箱,0000-00-00 00:00:00,0.0,2099-12-31 00:00:00,0.005,0.3,64.0,3840,0.0,3840,无
BOX,RK2605230002,主仓库,(증정) 유쏘풀 미니 가죽 키링 케이스 (1ea),남궁정,采购入库,CG202605230001,8809846782352,8809846782352,8809846782352,(赠品) YOUSSOFUL 香水钥匙扣皮套 (1ea),无,1ea,YOUSSOFUL,60,无权限,60箱,1.0,无,,B2-25-01,,正品,2026-05-23 12:56:18,YOUSSOFUL / BOX / TW CG20260520009,TW,OCG202605230001,1/箱,0000-00-00 00:00:00,0.0,2099-12-31 00:00:00,0.005,0.3,64.0,3840,0.0,3840,无
BOX,RK2605080002,主仓库,(증정) 유쏘풀 가죽 향수 파우치 (100g) (#Ver.2),남궁정,采购入库,CG202605080002,8809846781027,8809846781027,8809846781027,(赠品) YOUSSOFUL 香水袋(#皮质) (100g) (#Ver.2),无,100g,YOUSSOFUL,200,无权限,200箱,1.0,无,,B2-02-03,,正品,2026-05-08 07:19:26,YOUSSOFUL / BOX / TW / 대만10차 CG20260506002,TW 대만10차,OCG202605080002,1/箱,0000-00-00 00:00:00,0.0,2099-12-31 00:00:00,0.017,3.4,156.0,31200,0.0,31200,无
BOX,RK2605230002,主仓库,(증정) 유쏘풀 가죽 향수 파우치 (100g) (#Ver.2),남궁정,采购入库,CG202605230001,8809846781027,8809846781027,8809846781027,(赠品) YOUSSOFUL 香水袋(#皮质) (100g) (#Ver.2),无,100g,YOUSSOFUL,500,无权限,500箱,2.0,无,,B2-25-01,,正品,2026-05-23 12:56:18,YOUSSOFUL / BOX / TW CG20260520009,TW,OCG202605230001,1/箱,0000-00-00 00:00:00,0.0,2099-12-31 00:00:00,0.017,8.5,156.0,78000,0.0,78000,无
BOX,RK2605080002,主仓库,(증정) 유쏘풀 센트 스톤 (1ea),남궁정,采购入库,CG202605080002,8809846781232,8809846781232,8809846781232,(赠品) YOUSSOFUL 擴香石 (1ea),无,1ea,YOUSSOFUL,430,无权限,430箱,2.0,无,,B2-02-03,,正品,2026-05-08 07:19:26,YOUSSOFUL / BOX / TW / 대만10차 CG20260506002,TW 대만10차,OCG202605080002,1/箱,0000-00-00 00:00:00,0.0,2029-12-31 00:00:00,0.042,18.06,0.0,0,0.0,0,无
EA,RK2605080010,主仓库,(증정) 어블리 피그 프루티 포어 타이트닝 세럼 샤쉐 (2ml),남궁정,采购入库,CG202605080008,8809942330075,8809942330075,8809942330075,(赠品) Oubbly 无花果精华液小样 (2ml),美妆个护,2ml,Oubbly,150,无权限,150箱,2.0,无,,A02-17-03,,正品,2026-05-08 15:21:15,Oubbly / EA / Sunmooh CG20260506003,Sunmooh,OCG202605080008,1/箱,0000-00-00 00:00:00,0.0,2028-08-10 00:00:00,0.0,0.0,0.0,0,0.0,0,无
EA,RK2605040002,主仓库,(증정) 누메 소프트 레이어 스킨 프렙 (2ml),남궁정,采购入库,CG202605040002,8800242200129,8800242200129,8800242200129,(赠品) NUME 柔润分层妆前乳 (2ml),美妆个护,2ml,NUME,1400,无权限,1400箱,2.0,无,,A01-13-03,,正品,2026-05-04 09:52:39,NUME / EA / Sunmooh CG20260504001,Sunmooh,OCG202605040002,1/箱,0000-00-00 00:00:00,0.0,2028-12-15 00:00:00,0.0,0.0,0.0,0,0.0,0,无
BOX,RK2605210002,主仓库,TEST 왕디엔통입출고관리바코드,박강민 ,借调入库,JTF202605210002,TESTBARCODE,TESTBARCODE,TESTBARCODE,TEST 旺店通入出库管理,无,150ml,MYCOMMERCE,20,无权限,20ea,,无,,A01-45-03,,正品,2026-05-21 08:20:03,SCM 화주변경요청,,,无,0000-00-00 00:00:00,0.0,2088-12-31 00:00:00,0.182,3.64,225.0,4500,0.0,4500,无
EA,RK2605220002,主仓库,TEST 왕디엔통입출고관리바코드,권오성,采购入库,CG202605220003,TESTBARCODE,TESTBARCODE,TESTBARCODE,TEST 旺店通入出库管理,无,150ml,MYCOMMERCE,500,无权限,500ea,,无,,A01-45-03,,正品,2026-05-22 10:11:29,테스트 재고 CG202605220001,,OCG202605220003,无,0000-00-00 00:00:00,0.0,2029-12-31 00:00:00,0.182,91.0,225.0,112500,0.0,112500,无
EA,RK2605220002,主仓库,TEST(2) 왕디엔통 입출고 관리 바코드(2),권오성,采购入库,CG202605220003,TESTBARCODE2,TESTBARCODE2,TESTBARCODE2,TEST(#2) 旺店通入出库管理(#2),无,1ea,MYCOMMERCE,500,无权限,500个,,无,,A01-45-03,,正品,2026-05-22 10:11:29,테스트 재고 CG202605220001,,OCG202605220003,无,0000-00-00 00:00:00,0.0,2029-12-31 00:00:00,0.55,275.0,798.0,399000,0.0,399000,无
BOX,RK2605220003,主仓库,TEST 왕디엔통입출고관리바코드,권오성,采购入库,CG202605220002,TESTBARCODE,TESTBARCODE,TESTBARCODE,TEST 旺店通入出库管理,无,150ml,MYCOMMERCE,1000,无权限,1000ea,,无,,B2-25-01,,正品,2026-05-22 10:12:17,테스트 재고 CG202605220002,,OCG202605220002,无,0000-00-00 00:00:00,0.0,2029-12-31 00:00:00,0.182,182.0,225.0,225000,0.0,225000,无
BOX,RK2605220003,主仓库,TEST(2) 왕디엔통 입출고 관리 바코드(2),권오성,采购入库,CG202605220002,TESTBARCODE2,TESTBARCODE2,TESTBARCODE2,TEST(#2) 旺店通入出库管理(#2),无,1ea,MYCOMMERCE,1000,无权限,1000个,,无,,B2-25-01,,正品,2026-05-22 10:12:17,테스트 재고 CG202605220002,,OCG202605220002,无,0000-00-00 00:00:00,0.0,2029-12-31 00:00:00,0.55,550.0,798.0,798000,0.0,798000,无
BOX,RK2605040001,主仓库,누메 스킨 멜트 립앤치크 밤(#로지블러쉬) (8g),남궁정,采购入库,CG202605040001,8800242200143,8800242200143,8800242200143,NUME 肌融唇颊膏(#Rosy Blush) (8g),美妆个护,8g,NUME,150,无权限,1箱,1.0,无,,B2-25-01,,正品,2026-05-04 09:49:04,NUME / BOX / CN / BB CG20260504002,CN BB,OCG202605040001,150/箱,0000-00-00 00:00:00,0.0,2028-03-15 00:00:00,0.02,3.0,63.0,9450,0.0,9450,无
BOX,RK2605040001,主仓库,누메 딥 포어 퍼밍 세럼 (50ml),남궁정,采购入库,CG202605040001,8800242200020,8800242200020,8800242200020,NUME 深层毛孔紧致精华 (50ml),美妆个护,50ml,NUME,192,无权限,1箱,1.0,无,,B2-25-01,,正品,2026-05-04 09:49:04,NUME / BOX / CN / BB CG20260504002,CN BB,OCG202605040001,192/箱,0000-00-00 00:00:00,0.0,2028-04-10 00:00:00,0.118,22.656,179.0,34368,0.0,34368,无
EA,RK2605040002,主仓库,누메 슈퍼 내추럴 슬립 선크림 (50ml),남궁정,采购入库,CG202605040002,8800242200013,8800242200013,8800242200013,NUME 超自然轻盈有色防晒 (50ml),美妆个护,50ml,NUME,117,无权限,1箱,1.0,无,,A01-17-02,,正品,2026-05-04 09:52:39,NUME / EA / Sunmooh CG20260504001,Sunmooh,OCG202605040002,117/箱,0000-00-00 00:00:00,0.0,2028-10-13 00:00:00,0.08,9.36,165.0,19305,0.0,19305,无
EA,RK2605040002,主仓库,누메 스킨 멜트 립앤치크 밤(#코코베이지) (8g),남궁정,采购入库,CG202605040002,8800242200136,8800242200136,8800242200136,NUME 肌融唇颊膏(#Coco Beige) (8g),美妆个护,8g,NUME,150,无权限,1箱,1.0,无,,H-03-02,,正品,2026-05-04 09:52:39,NUME / EA / Sunmooh CG20260504001,Sunmooh,OCG202605040002,150/箱,0000-00-00 00:00:00,0.0,2028-03-10 00:00:00,0.02,3.0,63.0,9450,0.0,9450,无
EA,RK2605040003,主仓库,유쏘풀 향수(#04 쥬뗌므) (15ml),남궁정,借调入库,JTF202605040001,8809846780310,8809846780310,8809846780310,YOUSSOFUL 香水(#04 Je t'aime) (15ml),美妆个护,15ml,YOUSSOFUL,28,无权限,1箱,1.0,无,,A05-08-02,,正品,2026-05-04 10:09:42,SCM요청(화주변경),기타,,28/箱,0000-00-00 00:00:00,0.0,2028-12-10 00:00:00,0.076,2.128,80.0,2240,0.0,2240,无
EA,RK2605040004,主仓库,플르부아 린넨스프레이(#슬로우 나이트) (170ml),남궁정,借调入库,JTF202605040002,8800335541559,8800335541559,8800335541559,Pleuvoir 织物喷雾(#Slow Night) (170ml),美妆个护,170ml,Pleuvoir,30,无权限,1箱,1.0,无,,A03-32-02,,正品,2026-05-04 11:29:11,SCM요청(화주변경),기타,,30/箱,0000-00-00 00:00:00,0.0,2029-03-01 00:00:00,0.236,7.08,598.0,17940,0.0,17940,无
EA,RK2605040005,主仓库,아이뽀 데일리 부스팅 토너 바이 싹 (135ml),남궁정,采购入库,CG202604290012,8809524364894,8809524364894,8809524364894,AIPPO 每日保湿爽肤水 (135ml),美妆个护,135ml,AIPPO,2,无权限,2ea,1.0,无,,A03-06-03,,正品,2026-05-04 13:16:45,AIPPO / EA / Sunmooh CG20260428004,Sunmooh,OCG202604290012,63/箱,0000-00-00 00:00:00,0.0,2028-02-16 00:00:00,0.239,0.478,345.0,690,0.0,690,无
EA,RK2605040006,主仓库,플르부아 바디클렌저(#히노키레더) (250ml),남궁정,借调入库,JTF202605040003,8809681242325,8809681242325,8809681242325,Pleuvoir 沐浴露(#Hinoki Leather) (250ml),美妆个护,250ml,Pleuvoir,20,无权限,1箱,1.0,无,,A05-03-02,,正品,2026-05-04 15:31:35,SCM요청(화주변경),,,20/箱,0000-00-00 00:00:00,0.0,2028-08-28 00:00:00,0.325,6.5,585.0,11700,0.0,11700,无
EA,RK2605060001,主仓库,아이뽀 엘라스틱 모공 패드 (80ea),박강민 ,借调入库,JTF202605060001,8809654651352,8809654651352,8809654651352,AIPPO 毛孔管理棉片 (80ea),美妆个护,80ea,AIPPO,50,无权限,1箱,1.0,无,,A04-09-02,,正品,2026-05-06 08:32:11,SCM화주변경요,기초,,50/箱,0000-00-00 00:00:00,0.0,2028-06-15 00:00:00,0.338,16.9,722.0,36100,0.0,36100,无
EA,RK2605060002,主仓库,유쏘풀 향수(#03 베리섹시) (50ml),박강민 ,借调入库,JTF202605060002,8809846780129,8809846780129,8809846780129,YOUSSOFUL 香水(#03 Berry Sexy) (50ml),美妆个护,50ml,YOUSSOFUL,46,无权限,46ea,1.0,无,,A05-17-03,,正品,2026-05-06 08:34:54,SCM 화주변경요청,,,64/箱,0000-00-00 00:00:00,0.0,2028-12-10 00:00:00,0.182,8.372,225.0,10350,0.0,10350,无
